LBP_0,LBP_1,LBP_2,LBP_3,LBP_4,LBP_5,LBP_6,LBP_7,LBP_8,LBP_9
0.467147,0.02898,0.047569,0.120459,0.176736,0.068857,0.023771,0.017922,0.006357,0.042201
0.415069,0.04934,0.051667,0.10559,0.162639,0.059549,0.029931,0.034444,0.010833,0.080937
0.529536,0.036603,0.036814,0.07936,0.114768,0.052391,0.028165,0.031751,0.01628,0.074332
0.416228,0.036209,0.056189,0.11211,0.169907,0.07634,0.032456,0.026438,0.012159,0.061964
0.403881,0.036152,0.036724,0.097794,0.217034,0.074224,0.028064,0.033497,0.012704,0.059926
0.534337,0.035583,0.043323,0.076741,0.121409,0.050112,0.026958,0.028106,0.013676,0.069756
0.282448,0.061404,0.061607,0.10571,0.154037,0.082196,0.048652,0.051657,0.0266,0.12569
0.447902,0.055916,0.046086,0.062891,0.088173,0.051407,0.036406,0.051708,0.025974,0.133538
0.36036,0.058153,0.062778,0.080495,0.122523,0.071772,0.049294,0.042823,0.023228,0.128574
0.412944,0.06591,0.042136,0.048142,0.07337,0.044044,0.038914,0.06006,0.038851,0.175629
0.477024,0.056242,0.044074,0.047789,0.066985,0.053329,0.04265,0.047789,0.029564,0.134553
0.416138,0.0432,0.061482,0.101113,0.132769,0.080589,0.038806,0.029259,0.015036,0.081607
0.473643,0.043662,0.049937,0.073254,0.106848,0.075659,0.041661,0.032763,0.017567,0.085006
0.400548,0.058567,0.060805,0.081192,0.089195,0.063398,0.044122,0.046667,0.025894,0.129614
0.433532,0.041796,0.055666,0.087912,0.133635,0.073023,0.038174,0.029091,0.014852,0.092318
0.448023,0.049012,0.050313,0.068556,0.091041,0.06798,0.046534,0.043919,0.024237,0.110385
0.469198,0.057474,0.040589,0.041191,0.060946,0.03846,0.03706,0.052405,0.037914,0.164763
0.30659,0.03841,0.071065,0.143549,0.194321,0.109444,0.04017,0.023565,0.009552,0.063333
0.483751,0.058268,0.034455,0.033216,0.044262,0.029825,0.030386,0.056599,0.041197,0.188041
0.408682,0.064918,0.041765,0.041667,0.054796,0.042791,0.04192,0.061741,0.043452,0.198268
0.480692,0.047961,0.043487,0.05052,0.069554,0.052969,0.043446,0.044089,0.030788,0.136494
0.322844,0.054948,0.07037,0.129896,0.161096,0.084385,0.037304,0.037185,0.013896,0.088074
0.485278,0.056349,0.038106,0.045339,0.074816,0.043349,0.036452,0.047798,0.02979,0.142723
0.411815,0.048131,0.062632,0.101588,0.128073,0.080414,0.039526,0.029543,0.014417,0.083862
0.523959,0.051506,0.034087,0.042138,0.076023,0.037983,0.032799,0.044254,0.028682,0.128568
0.403526,0.049448,0.058636,0.089494,0.115527,0.085808,0.04578,0.03734,0.020299,0.094142
0.374573,0.068531,0.045882,0.047009,0.061344,0.064141,0.056799,0.06183,0.043065,0.176826
0.437083,0.045019,0.054974,0.092618,0.13813,0.07415,0.037682,0.028347,0.014129,0.077869
0.338379,0.029639,0.057349,0.156996,0.235773,0.09271,0.02672,0.014962,0.005497,0.041975
0.347031,0.033286,0.060691,0.13069,0.192815,0.100929,0.037528,0.021435,0.009102,0.066494
0.565441,0.031887,0.043345,0.068493,0.090183,0.062777,0.034111,0.023398,0.012845,0.067521
0.38403,0.064075,0.057316,0.074486,0.090907,0.060031,0.040838,0.048244,0.028489,0.151584
0.511938,0.042383,0.05334,0.076951,0.093045,0.058752,0.032165,0.02791,0.01369,0.089826
0.467867,0.056283,0.042737,0.048306,0.060967,0.04572,0.039259,0.046104,0.032833,0.159925
0.399633,0.03168,0.042562,0.114073,0.1838,0.06734,0.034229,0.029982,0.016812,0.07989
0.359248,0.056086,0.060364,0.085835,0.113212,0.077724,0.046502,0.041271,0.026836,0.132922
0.379177,0.030683,0.053523,0.125045,0.162412,0.072947,0.042502,0.032206,0.018288,0.083218
0.375584,0.041927,0.057693,0.103468,0.167219,0.078745,0.039206,0.031917,0.015411,0.088828
0.419538,0.021646,0.040978,0.121088,0.210795,0.079451,0.030137,0.018145,0.008014,0.050208
0.400688,0.054356,0.052481,0.071129,0.107949,0.066957,0.044495,0.044535,0.026395,0.131015
0.453881,0.050123,0.050046,0.060077,0.084414,0.052299,0.042106,0.044637,0.029228,0.133187
0.365624,0.057501,0.05254,0.061897,0.087428,0.058755,0.047648,0.056343,0.038311,0.173952
0.428804,0.055992,0.047454,0.055643,0.079259,0.055405,0.044505,0.048017,0.032463,0.152461
0.383107,0.057624,0.053144,0.073238,0.109051,0.067935,0.045141,0.044869,0.028193,0.137699
0.380746,0.059563,0.060377,0.084285,0.119648,0.068795,0.041703,0.038858,0.021995,0.12403
0.456825,0.032868,0.041168,0.086782,0.151143,0.067823,0.036477,0.028097,0.013749,0.085068
0.432588,0.055765,0.048747,0.060423,0.080065,0.056819,0.043762,0.046569,0.027841,0.147422
0.406398,0.037319,0.048747,0.10495,0.136116,0.057897,0.040276,0.039557,0.02204,0.1067
0.338173,0.041583,0.06888,0.117069,0.160832,0.09573,0.047071,0.03235,0.015672,0.08264
0.372495,0.056419,0.054346,0.06515,0.090007,0.067772,0.05499,0.052446,0.034326,0.152048
0.444971,0.046301,0.047077,0.070281,0.11246,0.068406,0.044534,0.040675,0.022182,0.103113
0.523349,0.04196,0.041157,0.058225,0.092901,0.055556,0.036867,0.03534,0.019892,0.094753
0.556079,0.037709,0.040007,0.054011,0.08138,0.055875,0.037403,0.031761,0.017999,0.087776
0.368113,0.059659,0.052313,0.056675,0.083936,0.060061,0.052313,0.058454,0.038682,0.169795
0.383024,0.028334,0.054646,0.141686,0.210343,0.092104,0.02623,0.017731,0.006598,0.039304
0.363409,0.028832,0.054643,0.155354,0.236224,0.088261,0.021523,0.013137,0.004264,0.034352
0.415835,0.05893,0.048012,0.057952,0.086524,0.056216,0.045946,0.051399,0.030443,0.148743
0.465532,0.050079,0.053789,0.076356,0.097023,0.06123,0.036721,0.036213,0.019376,0.103681
0.437732,0.050881,0.053311,0.077207,0.108959,0.063864,0.041028,0.040596,0.021652,0.104769
0.256905,0.059951,0.072734,0.106715,0.14874,0.092733,0.056506,0.051752,0.027747,0.126216
0.421448,0.048491,0.058583,0.102078,0.135183,0.070776,0.036066,0.030392,0.014079,0.082903
0.378281,0.053052,0.058586,0.083847,0.116619,0.07971,0.049837,0.041443,0.022375,0.11625
0.397698,0.043403,0.06123,0.108073,0.147602,0.084217,0.039818,0.028003,0.014355,0.075601
0.431998,0.055344,0.052412,0.070453,0.094665,0.058535,0.041326,0.047954,0.026511,0.1208
0.316584,0.048438,0.06677,0.124095,0.166826,0.094176,0.046429,0.034975,0.015525,0.08618
0.372118,0.062219,0.057081,0.070896,0.098748,0.064105,0.046148,0.049845,0.030681,0.148159
0.425773,0.045313,0.055415,0.083857,0.115096,0.078327,0.048455,0.038416,0.019668,0.089681
0.380688,0.051946,0.06194,0.095258,0.123447,0.080935,0.046041,0.037486,0.020285,0.101974
0.343753,0.061575,0.063087,0.068648,0.079122,0.057769,0.052478,0.061764,0.041788,0.170014
0.512815,0.045737,0.0438,0.060034,0.089052,0.056993,0.03737,0.036659,0.018866,0.098675
0.478758,0.033088,0.054868,0.108692,0.1402,0.070681,0.029186,0.020575,0.01003,0.053922
0.412171,0.061051,0.049208,0.054809,0.076897,0.04876,0.0431,0.054704,0.036081,0.163217
0.509343,0.05543,0.041551,0.046935,0.065768,0.041426,0.036293,0.048077,0.027484,0.127692
0.49305,0.04974,0.041809,0.048027,0.071201,0.045343,0.039725,0.045714,0.029152,0.136238
0.520965,0.047072,0.044754,0.057404,0.074155,0.050554,0.036017,0.040118,0.022081,0.106879
0.380443,0.057374,0.061756,0.095762,0.128789,0.071098,0.039848,0.039724,0.019538,0.105669
0.480024,0.05376,0.049386,0.054108,0.069036,0.050442,0.040878,0.046198,0.026711,0.129456
0.500379,0.045707,0.046646,0.056408,0.074921,0.048635,0.038242,0.04087,0.026089,0.122104
0.433222,0.030964,0.051911,0.117091,0.174044,0.085211,0.029924,0.020065,0.008384,0.049184
0.511102,0.049982,0.040077,0.044085,0.064538,0.041528,0.037406,0.047091,0.030438,0.133753
0.381387,0.048332,0.061782,0.09405,0.124796,0.087727,0.049511,0.038034,0.020544,0.093836
0.480587,0.053925,0.044481,0.054622,0.075416,0.046941,0.038168,0.047178,0.028225,0.130458
0.530002,0.019114,0.036247,0.110789,0.193157,0.059995,0.014908,0.009806,0.002595,0.023387
0.428312,0.054186,0.048513,0.065624,0.095738,0.057328,0.040804,0.047708,0.030252,0.131536
0.53171,0.038169,0.043623,0.064961,0.094202,0.060053,0.035798,0.031495,0.017884,0.082104
0.412171,0.061051,0.049208,0.054809,0.076897,0.04876,0.0431,0.054704,0.036081,0.163217
0.434762,0.049595,0.051365,0.078189,0.11096,0.063635,0.041621,0.038429,0.020758,0.110687
0.428404,0.045739,0.057061,0.090103,0.12235,0.081413,0.042645,0.029853,0.016195,0.086238
0.402144,0.038657,0.05625,0.090826,0.130909,0.083748,0.048916,0.035039,0.019834,0.093677
0.388035,0.054398,0.053924,0.067376,0.088134,0.064644,0.052577,0.052842,0.034381,0.143689
0.432182,0.054592,0.045083,0.058346,0.086799,0.051664,0.039965,0.051101,0.031869,0.148398
0.355072,0.065821,0.053576,0.057468,0.076993,0.053845,0.048578,0.059665,0.039771,0.189211
0.538508,0.051288,0.03125,0.03506,0.052855,0.033565,0.03002,0.049407,0.031877,0.146171
0.368393,0.062017,0.051164,0.061247,0.08616,0.060541,0.046065,0.056224,0.037622,0.170566
0.425226,0.055888,0.047174,0.056492,0.081365,0.050138,0.042052,0.050671,0.032888,0.158107
0.421223,0.059791,0.044974,0.053231,0.073366,0.048434,0.040792,0.055582,0.034619,0.167989
0.465103,0.043783,0.049182,0.065019,0.09335,0.060101,0.045418,0.040356,0.024146,0.11354
0.427746,0.035213,0.052589,0.093359,0.137242,0.080379,0.046692,0.031786,0.016311,0.078684
0.441297,0.036463,0.052615,0.089571,0.142691,0.087549,0.040277,0.023998,0.012361,0.073178
0.487849,0.03777,0.048048,0.070992,0.102694,0.064801,0.043309,0.03477,0.020324,0.089443
0.485806,0.046154,0.051093,0.064457,0.091503,0.054239,0.03974,0.037728,0.021376,0.107904
0.375703,0.063452,0.049256,0.051028,0.082088,0.051263,0.046648,0.058237,0.03966,0.182665
0.504382,0.042841,0.041997,0.059325,0.099223,0.06374,0.039253,0.03125,0.018287,0.099702
0.516409,0.038807,0.047366,0.064856,0.096368,0.059043,0.038807,0.031019,0.018467,0.088858
0.485642,0.054969,0.035942,0.036255,0.057799,0.037689,0.037728,0.052321,0.035746,0.16591
0.381875,0.062691,0.052413,0.058056,0.096476,0.053715,0.046146,0.054149,0.034045,0.160434
0.409821,0.036549,0.056017,0.109502,0.158937,0.084454,0.037525,0.025034,0.012267,0.069893
0.521085,0.049169,0.038992,0.046642,0.066917,0.039919,0.034727,0.041143,0.026801,0.134605
0.49818,0.036239,0.050952,0.085735,0.119655,0.069813,0.032727,0.023702,0.01181,0.071187
0.454832,0.055803,0.046218,0.052655,0.073995,0.056687,0.044331,0.049319,0.031079,0.135081
0.373661,0.057877,0.055527,0.076154,0.112735,0.067593,0.046909,0.04839,0.028675,0.132479
0.521564,0.04876,0.0346,0.038756,0.064165,0.043291,0.039528,0.044157,0.026654,0.138523
0.422863,0.052593,0.055556,0.078006,0.105,0.061097,0.042308,0.041724,0.024088,0.116766
0.383437,0.057246,0.057048,0.067769,0.103314,0.061175,0.049312,0.049038,0.029164,0.142498
0.418663,0.051339,0.0547,0.077579,0.109747,0.065451,0.043738,0.038232,0.020895,0.119655
0.44923,0.040427,0.053572,0.076253,0.101817,0.070811,0.048453,0.036518,0.022404,0.100514
0.468998,0.054094,0.042306,0.046183,0.06173,0.040923,0.035545,0.05113,0.034983,0.164108
0.434428,0.043299,0.049976,0.073139,0.121261,0.070646,0.046519,0.039441,0.021783,0.099507
0.428408,0.055936,0.048309,0.059112,0.07857,0.050076,0.043523,0.049539,0.031759,0.154768
0.566741,0.04008,0.039611,0.044823,0.066531,0.040728,0.03367,0.035224,0.022792,0.1098
0.270547,0.069512,0.066149,0.083434,0.107076,0.073547,0.057439,0.052596,0.03521,0.18449
0.479814,0.043728,0.047197,0.067958,0.107211,0.06262,0.039845,0.034682,0.019307,0.097638
0.442273,0.057257,0.049132,0.055466,0.063099,0.052825,0.044162,0.052176,0.034023,0.149588
0.526073,0.044435,0.039321,0.047422,0.075591,0.046859,0.038179,0.038007,0.025432,0.118681
0.571197,0.032963,0.043191,0.068177,0.083974,0.049587,0.031638,0.028462,0.015613,0.075199
0.289053,0.067628,0.063924,0.071636,0.106212,0.070863,0.054923,0.060853,0.037131,0.177778
0.578796,0.034168,0.038238,0.053995,0.079949,0.047429,0.032636,0.032067,0.017755,0.084967
0.383005,0.057755,0.056308,0.071373,0.090702,0.060995,0.047647,0.053858,0.032272,0.146084
0.439639,0.056836,0.044385,0.051873,0.075424,0.049926,0.042403,0.050593,0.031583,0.157337
0.450952,0.040564,0.055467,0.099894,0.122099,0.072769,0.037319,0.029012,0.014956,0.076966
0.399204,0.045935,0.056337,0.07934,0.119878,0.073756,0.049031,0.039685,0.024349,0.112486
0.457668,0.048646,0.051351,0.066425,0.093117,0.061136,0.044044,0.042683,0.022014,0.112915
0.516239,0.027454,0.04693,0.084607,0.119893,0.073266,0.037646,0.022452,0.012041,0.059472
0.343527,0.066642,0.055007,0.0612,0.080897,0.051758,0.04457,0.061647,0.041707,0.193043
0.43198,0.037597,0.056709,0.093508,0.124661,0.083876,0.045245,0.030627,0.015432,0.080366
0.411728,0.045025,0.059843,0.082187,0.101174,0.070254,0.04785,0.040462,0.023747,0.11773
0.382208,0.05436,0.058889,0.072799,0.098973,0.069437,0.051308,0.048017,0.029297,0.134712
0.517819,0.028971,0.045007,0.075133,0.119688,0.070914,0.038389,0.023985,0.012997,0.067096
0.442757,0.038854,0.054887,0.080485,0.111006,0.080432,0.049719,0.035513,0.018952,0.087395
0.350478,0.067916,0.047733,0.052859,0.08003,0.052043,0.052005,0.063891,0.038334,0.19471
0.421273,0.052198,0.052286,0.066245,0.092036,0.068003,0.052338,0.043126,0.025053,0.127444
0.600798,0.017217,0.036705,0.082661,0.121566,0.065282,0.023654,0.012556,0.005843,0.03372
0.378109,0.053766,0.055425,0.071157,0.108231,0.075041,0.052741,0.048027,0.027996,0.129506
0.412007,0.032007,0.056297,0.104834,0.156962,0.092682,0.044338,0.022985,0.011871,0.066017
0.480712,0.045755,0.050712,0.06406,0.081182,0.05792,0.04188,0.038803,0.02067,0.118305
0.323068,0.039394,0.065551,0.111588,0.168272,0.105549,0.054793,0.030225,0.016606,0.084954
0.337495,0.044957,0.063523,0.113992,0.16768,0.09756,0.046095,0.032864,0.014156,0.081679
0.325313,0.046198,0.059549,0.087691,0.137049,0.10059,0.061406,0.041424,0.02441,0.116372
0.388582,0.039976,0.059497,0.105246,0.15078,0.092659,0.045321,0.030958,0.013735,0.073246
0.428662,0.037058,0.051641,0.07994,0.12399,0.087484,0.050158,0.032086,0.018592,0.090388
0.388889,0.061156,0.045527,0.052678,0.082885,0.049611,0.044906,0.057227,0.034877,0.182244
0.592135,0.0234,0.036473,0.059752,0.100574,0.064025,0.033847,0.021633,0.011338,0.056824
0.281156,0.056577,0.066984,0.088922,0.130631,0.081978,0.060665,0.050738,0.032074,0.150275
0.3645,0.059044,0.053579,0.063048,0.087869,0.061354,0.054559,0.051734,0.033892,0.170421
0.368622,0.045147,0.062014,0.086571,0.132705,0.084094,0.053726,0.039821,0.020833,0.106465
0.485347,0.04525,0.048194,0.060694,0.093181,0.058556,0.042458,0.035944,0.020958,0.109417
0.400799,0.025133,0.048645,0.111094,0.196611,0.099935,0.037828,0.019008,0.009845,0.051102
0.437969,0.045471,0.058097,0.08649,0.113037,0.072342,0.04178,0.031258,0.018114,0.095442
0.499417,0.029512,0.048965,0.096945,0.127248,0.069084,0.033758,0.0227,0.011114,0.061258
0.379555,0.058129,0.058209,0.076013,0.092907,0.067319,0.048715,0.044544,0.030239,0.144371
0.410619,0.047293,0.053235,0.072205,0.097099,0.071361,0.050105,0.044919,0.027584,0.12558
0.378227,0.061588,0.053712,0.061127,0.07674,0.059203,0.050605,0.053632,0.036396,0.168771
0.410431,0.034151,0.056964,0.102951,0.149419,0.087405,0.042551,0.026232,0.01419,0.075706
0.367754,0.063227,0.053386,0.065374,0.079442,0.052984,0.046207,0.055623,0.037909,0.178095
0.415802,0.035175,0.056713,0.106455,0.160574,0.089426,0.037689,0.023494,0.011388,0.063285
0.399746,0.054056,0.054626,0.075672,0.110704,0.065826,0.046264,0.039841,0.024827,0.12844
0.391373,0.039419,0.057179,0.110861,0.160187,0.083874,0.040793,0.030414,0.014042,0.071859
