Color_0_0,Color_0_1,Color_0_2,Color_1_0,Color_1_1,Color_1_2,Color_2_0,Color_2_1,Color_2_2,Color_3_0,Color_3_1,Color_3_2,color_4_0,Color_4_1,Color_4_2,Color_5_0,Color_5_1,Color_5_2,Color_6_0,Color_6_1,Color_6_2,Color_7_0,Color_7_1,Color_7_2,Color_8_0,Color_8_1,Color_8_2,Color_9_0,Color_9_1,Color_9_2,Color_10_0,Color_10_1,Color_10_2,Color_11_0,Color_11_1,Color_11_2,Color_12_0,Color_12_1,Color_12_2,Color_13_0,Color_13_1,Color_13_2,Color_14_0,Color_14_1,Color_14_2,Color_15_0,Color_15_1,Color_15_2
0.259952,0.177264,0.194261,0.141824,0.126259,0.109331,0.017988,0.017061,0.013908,0.000624,0.000632,0.000483,0.317838,0.298256,0.276821,0.244632,0.229847,0.206436,0.092685,0.087578,0.074272,0.015645,0.014865,0.012113,0.41402,0.401806,0.384173,0.332878,0.316964,0.29325,0.23724,0.222361,0.194156,0.135099,0.128269,0.108923,0.503572,0.500851,0.492384,0.381106,0.370427,0.351238,0.276178,0.264712,0.238192,0.179785,0.195372,0.15753
0.284755,0.208793,0.224486,0.132325,0.119754,0.108497,0.011529,0.010875,0.009261,0.000386,0.000331,0.000278,0.336224,0.321647,0.298452,0.245058,0.236059,0.217305,0.071824,0.068425,0.062099,0.00898,0.008434,0.007524,0.437952,0.429754,0.411977,0.366326,0.354961,0.336686,0.238851,0.22951,0.213643,0.110151,0.107311,0.095391,0.50477,0.502989,0.493666,0.415266,0.407292,0.392461,0.304162,0.295567,0.274442,0.152081,0.20388,0.149101
0.411319,0.333467,0.300714,0.242868,0.217549,0.177464,0.018836,0.017558,0.013723,0.000268,0.000257,0.000214,0.46419,0.447112,0.380624,0.389814,0.377484,0.323119,0.135834,0.132501,0.11423,0.018576,0.018526,0.016375,0.56451,0.565387,0.519965,0.48378,0.484448,0.446389,0.357703,0.359299,0.32602,0.205271,0.210729,0.184106,0.654471,0.664739,0.630247,0.537904,0.552988,0.523824,0.398099,0.412895,0.380685,0.273188,0.313207,0.258788
0.391845,0.332244,0.336168,0.470776,0.483471,0.494529,0.593966,0.616334,0.625951,0.656442,0.681561,0.696495,0.198086,0.200994,0.194653,0.368154,0.381013,0.383314,0.517616,0.53771,0.547943,0.57951,0.603134,0.617601,0.019026,0.019793,0.01907,0.126051,0.130687,0.131565,0.362083,0.376741,0.385739,0.418981,0.439236,0.452148,0.000277,0.00029,0.000284,0.014398,0.015058,0.015337,0.17368,0.186688,0.189445,0.238614,0.28815,0.294257
0.000253,0.000418,0.000325,0.019516,0.025033,0.02071,0.168427,0.197071,0.171495,0.286938,0.290232,0.329151,0.006071,0.008176,0.006687,0.086483,0.102183,0.083743,0.301049,0.345805,0.292266,0.419767,0.473016,0.42126,0.075504,0.098036,0.08083,0.211076,0.248106,0.209836,0.395953,0.444872,0.394587,0.52154,0.575156,0.528044,0.120702,0.158946,0.121731,0.228848,0.273951,0.229697,0.356799,0.412055,0.364912,0.4506,0.513384,0.46493
0.314217,0.226611,0.30568,0.136125,0.135362,0.149401,0.011686,0.012697,0.01285,0.000935,0.000745,0.000565,0.406656,0.433226,0.454635,0.305895,0.329311,0.342898,0.088905,0.096049,0.098157,0.013315,0.013149,0.012501,0.518181,0.551805,0.57113,0.451066,0.478813,0.487759,0.283066,0.305521,0.310872,0.115004,0.131057,0.135371,0.580636,0.614415,0.631019,0.510903,0.538156,0.542341,0.352265,0.381715,0.386624,0.154102,0.21951,0.204075
0.386914,0.252369,0.350119,0.157559,0.152159,0.163017,0.020335,0.023388,0.028899,0.001858,0.002184,0.003374,0.536362,0.547945,0.537489,0.339562,0.363918,0.367185,0.100187,0.119343,0.145852,0.024426,0.031372,0.042099,0.753232,0.767997,0.736656,0.558647,0.602096,0.619861,0.284353,0.355834,0.433732,0.148458,0.197121,0.252749,0.852105,0.860749,0.819952,0.681605,0.728068,0.752773,0.385133,0.500236,0.637683,0.210764,0.325628,0.402225
0.39521,0.308142,0.366486,0.192756,0.180866,0.18967,0.01198,0.01199,0.012238,0.000228,0.000229,0.000226,0.492614,0.498691,0.501254,0.40993,0.417287,0.421615,0.135607,0.137317,0.13806,0.021012,0.021333,0.02097,0.595797,0.610329,0.616176,0.529964,0.541768,0.549621,0.398121,0.403949,0.405791,0.215977,0.222507,0.219185,0.686273,0.699658,0.702154,0.573583,0.585279,0.593065,0.436179,0.446263,0.450598,0.28798,0.327446,0.304579
0.37051,0.318604,0.213071,0.452437,0.44402,0.316446,0.58961,0.585547,0.492956,0.697894,0.694351,0.642367,0.192112,0.195355,0.135577,0.315411,0.322889,0.251987,0.445955,0.454095,0.396131,0.540338,0.546584,0.50235,0.021165,0.023571,0.018811,0.10597,0.116424,0.10296,0.258784,0.27748,0.249061,0.320819,0.34028,0.31121,0.001343,0.001574,0.001486,0.030979,0.035564,0.033057,0.158178,0.177678,0.161524,0.205276,0.235774,0.213051
0.334182,0.341952,0.238109,0.203817,0.226643,0.16498,0.030823,0.034574,0.025933,0.000879,0.000893,0.000734,0.413703,0.453932,0.32101,0.312435,0.350651,0.26318,0.100412,0.111493,0.087909,0.015603,0.016331,0.013279,0.494593,0.552903,0.431981,0.434001,0.492638,0.394126,0.296427,0.336507,0.269138,0.137188,0.155997,0.126848,0.544012,0.614306,0.511054,0.479208,0.547924,0.454316,0.376263,0.437887,0.353134,0.193628,0.294573,0.243972
0.389286,0.314111,0.347464,0.142625,0.149081,0.141908,0.005038,0.006826,0.006257,0.000222,0.000387,0.000345,0.448843,0.492724,0.457032,0.306796,0.347233,0.321315,0.06406,0.079496,0.073408,0.008342,0.0125,0.01201,0.554222,0.597985,0.559205,0.466863,0.514094,0.479219,0.283654,0.330499,0.306365,0.121356,0.160137,0.148358,0.610348,0.651957,0.614562,0.517263,0.561517,0.526518,0.366762,0.422029,0.390988,0.197207,0.302426,0.248903
0.3078,0.21981,0.262282,0.127637,0.13564,0.127744,0.009333,0.013224,0.012405,0.000244,0.000453,0.000434,0.364094,0.403025,0.370319,0.263546,0.306541,0.281729,0.073444,0.097582,0.091269,0.011185,0.017184,0.016388,0.461341,0.504485,0.473226,0.385975,0.431282,0.403042,0.223622,0.273862,0.255251,0.106489,0.149562,0.140162,0.530655,0.572948,0.53925,0.44783,0.492686,0.462748,0.286132,0.34267,0.318856,0.142044,0.235611,0.202089
